,origin,age,gender,education,job_title,coding_experience,salary,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7
9025,16878,25-29,Woman,Bachelor’s degree,Data Analyst,1-2 years,"5,000-7,499",1,,,,,,
9026,16880,22-24,Woman,Master’s degree,Data Analyst,3-5 years,"1,000-1,999",1,,,,,,
9027,16882,30-34,Man,Master’s degree,Data Scientist,5-10 years,"80,000-89,999",,,,,1,,
9028,16883,30-34,Man,Doctoral degree,Data Scientist,5-10 years,"100,000-124,999",1,,1,1,1,,
9029,16884,30-34,Man,Master’s degree,Machine Learning Engineer,5-10 years,"150,000-199,999",1,"1",1,1,1,1,
9030,16885,50-54,Man,Bachelor’s degree,Software Engineer,10-20 years,"50,000-59,999",,,1,,1,,
9031,16888,45-49,Man,Master’s degree,Data Analyst,20+ years,"10,000-14,999",1,,,,,,
9033,16896,25-29,Man,Bachelor’s degree,Data Scientist,< 1 years,$0-999,1,,,,,,
9034,16898,30-34,Man,Master’s degree,Product/Project Manager,1-2 years,$0-999,1,"1",1,,,,
9035,16900,60-69,Woman,Doctoral degree,Statistician,10-20 years,"150,000-199,999",1,"1",1,1,,,
9036,16901,45-49,Man,Master’s degree,Software Engineer,10-20 years,"200,000-249,999",,"1",,,,,
9037,16903,25-29,Man,Bachelor’s degree,Data Analyst,3-5 years,"10,000-14,999",1,"1",,,,,
9038,16904,25-29,Man,Bachelor’s degree,Data Analyst,1-2 years,"10,000-14,999",,,1,,,,
9039,16905,30-34,Man,Master’s degree,Data Scientist,1-2 years,"5,000-7,499",1,"1",1,1,1,1,
9040,16911,50-54,Man,Master’s degree,DBA/Database Engineer,20+ years,"100,000-124,999",,"1",,,,,
9041,16912,30-34,Man,Master’s degree,Data Scientist,5-10 years,"50,000-59,999",1,"1",1,1,1,,
9042,16913,45-49,Man,Doctoral degree,Data Scientist,10-20 years,"100,000-124,999",1,"1",1,1,,,
9043,16914,40-44,Man,Doctoral degree,Data Scientist,1-2 years,"125,000-149,999",,"1",1,1,,,
9044,16916,40-44,Man,Master’s degree,Data Scientist,3-5 years,$0-999,1,"1",1,,,,
9045,16917,30-34,Man,Master’s degree,Data Scientist,10-20 years,"100,000-124,999",1,"1",,,1,,
9046,16918,40-44,Man,Bachelor’s degree,Data Scientist,< 1 years,"20,000-24,999",,,,,,,None of these activities are an important part of my role at work
9047,16919,30-34,Woman,Master’s degree,Data Scientist,< 1 years,"1,000-1,999",1,,,,,,
9048,16920,35-39,Man,Doctoral degree,Product/Project Manager,10-20 years,"60,000-69,999",,,1,1,,,
9049,16922,25-29,Man,Professional degree,Software Engineer,5-10 years,"15,000-19,999",,,,,,,None of these activities are an important part of my role at work
9051,16930,25-29,Man,Master’s degree,Data Analyst,I have never written code,"100,000-124,999",,,1,,,,
9052,16935,25-29,Man,Master’s degree,Machine Learning Engineer,3-5 years,$0-999,,"1",1,,,,
9053,16939,50-54,Man,Master’s degree,Software Engineer,1-2 years,"1,000-1,999",1,,,,,,
9054,16941,25-29,Woman,Master’s degree,Data Scientist,1-2 years,"20,000-24,999",1,"1",,1,,,
9056,16943,25-29,Woman,Master’s degree,Data Analyst,3-5 years,"15,000-19,999",1,,1,,,,
9057,16944,35-39,Man,Master’s degree,Product/Project Manager,< 1 years,"10,000-14,999",1,"1",,1,1,,
9058,16946,35-39,Man,Master’s degree,DBA/Database Engineer,10-20 years,"1,000-1,999",1,"1",,,,,
9059,16947,25-29,Woman,Professional degree,Software Engineer,5-10 years,"30,000-39,999",1,"1",1,,,1,
9060,16948,35-39,Man,Bachelor’s degree,Data Engineer,5-10 years,"30,000-39,999",1,"1",1,1,1,1,
9061,16949,25-29,Man,Master’s degree,Data Analyst,3-5 years,"1,000-1,999",1,,,,,,
9063,16952,25-29,Man,Bachelor’s degree,Data Analyst,3-5 years,"4,000-4,999",1,,,,1,,
9064,16953,22-24,Man,Bachelor’s degree,Data Scientist,1-2 years,$0-999,,,,,,,
9065,16954,25-29,Man,Master’s degree,Machine Learning Engineer,5-10 years,"100,000-124,999",1,"1",1,1,1,1,
9066,16955,25-29,Man,Master’s degree,Machine Learning Engineer,5-10 years,"15,000-19,999",1,"1",1,1,1,1,
9067,16956,22-24,Woman,Master’s degree,Business Analyst,< 1 years,$0-999,1,"1",1,1,,,
9068,16958,25-29,Woman,Master’s degree,Data Analyst,3-5 years,"15,000-19,999",1,,,,,,
9069,16961,30-34,Man,Master’s degree,Business Analyst,5-10 years,"2,000-2,999",1,,1,1,,,
9070,16962,18-21,Man,Bachelor’s degree,Data Scientist,5-10 years,"10,000-14,999",1,,1,1,,1,
9071,16963,40-44,Man,Some college/university study without earning a bachelor’s degree,Data Scientist,3-5 years,"40,000-49,999",1,"1",1,,,1,
9072,16964,30-34,Woman,Master’s degree,Research Scientist,3-5 years,"1,000-1,999",1,,,,,,
9073,16966,40-44,Man,Bachelor’s degree,Software Engineer,10-20 years,"80,000-89,999",1,"1",1,1,1,,
9074,16967,30-34,Man,Master’s degree,Data Analyst,1-2 years,"20,000-24,999",1,,,,,,
9075,16968,25-29,Woman,Bachelor’s degree,Research Scientist,3-5 years,"50,000-59,999",1,,,,1,,
9076,16969,25-29,Man,Doctoral degree,Data Analyst,I have never written code,"1,000-1,999",1,"1",1,1,1,1,
9077,16971,45-49,Man,Master’s degree,Data Scientist,10-20 years,"40,000-49,999",1,,1,1,1,1,
9078,16972,25-29,Man,Master’s degree,Data Analyst,< 1 years,$0-999,,,,,,,
9079,16975,25-29,Woman,Doctoral degree,Research Scientist,< 1 years,"2,000-2,999",,,1,,,,
9080,16976,45-49,Man,Bachelor’s degree,Product/Project Manager,I have never written code,"70,000-79,999",1,,1,,1,,
9081,16977,22-24,Woman,Master’s degree,Business Analyst,< 1 years,"10,000-14,999",1,"1",1,,,,
9082,16978,25-29,Man,Master’s degree,Data Scientist,3-5 years,"25,000-29,999",1,"1",1,1,1,,
9083,16979,25-29,Man,Doctoral degree,Software Engineer,5-10 years,"10,000-14,999",1,,1,1,1,,
9084,16981,30-34,Woman,Master’s degree,Business Analyst,3-5 years,"60,000-69,999",1,"1",,,,,
9085,16982,25-29,Man,Master’s degree,Machine Learning Engineer,1-2 years,$0-999,1,,,1,,1,
9086,16985,55-59,Man,Master’s degree,Product/Project Manager,3-5 years,"100,000-124,999",1,,,,,,
9087,16989,35-39,Man,Bachelor’s degree,Machine Learning Engineer,1-2 years,"2,000-2,999",1,"1",1,1,,,
9088,16990,40-44,Man,Doctoral degree,Data Scientist,20+ years,"> $500,000",,,1,1,,,
9089,16991,45-49,Woman,Bachelor’s degree,Data Analyst,10-20 years,"90,000-99,999",1,,,,,,
9090,16992,35-39,Man,Master’s degree,Data Scientist,10-20 years,"40,000-49,999",1,"1",1,1,,,
9092,16996,35-39,Man,Master’s degree,Machine Learning Engineer,10-20 years,"5,000-7,499",1,"1",1,,,1,
9093,16997,35-39,Man,Bachelor’s degree,Data Scientist,10-20 years,"15,000-19,999",1,"1",,1,,,
9094,16999,50-54,Woman,Doctoral degree,Data Scientist,20+ years,"60,000-69,999",1,,1,,1,1,
9096,17001,25-29,Man,Bachelor’s degree,Machine Learning Engineer,1-2 years,$0-999,,,,,,,None of these activities are an important part of my role at work
9097,17003,45-49,Man,Master’s degree,Data Scientist,10-20 years,"80,000-89,999",,"1",,,,,
9098,17004,30-34,Man,Master’s degree,Data Scientist,5-10 years,"20,000-24,999",1,,1,,,,
9099,17007,55-59,Man,Doctoral degree,Research Scientist,I have never written code,"125,000-149,999",,,,,,,None of these activities are an important part of my role at work
9100,17008,40-44,Man,Doctoral degree,Research Scientist,10-20 years,"125,000-149,999",1,"1",1,1,1,1,
9102,17014,30-34,Man,Master’s degree,Data Engineer,3-5 years,"30,000-39,999",1,"1",,,,,
9103,17016,30-34,Man,Master’s degree,Business Analyst,3-5 years,"100,000-124,999",1,"1",,1,,,
9104,17017,22-24,Man,Master’s degree,Machine Learning Engineer,3-5 years,"5,000-7,499",,,1,1,,,
9105,17018,30-34,Man,Doctoral degree,Research Scientist,10-20 years,"40,000-49,999",,,1,,1,1,
9106,17025,40-44,Woman,Doctoral degree,Software Engineer,5-10 years,$0-999,,,,,,1,
9107,17026,25-29,Man,Master’s degree,Data Scientist,3-5 years,"10,000-14,999",,,1,1,,,
9108,17027,40-44,Man,Bachelor’s degree,Software Engineer,10-20 years,$0-999,,,1,,,,
9110,17030,40-44,Man,Master’s degree,Data Scientist,10-20 years,"7,500-9,999",,,1,1,1,,
9111,17032,22-24,Man,Master’s degree,Software Engineer,3-5 years,"5,000-7,499",,,,,,,None of these activities are an important part of my role at work
9113,17037,40-44,Man,Master’s degree,Business Analyst,10-20 years,"20,000-24,999",1,,1,,,,
9115,17040,25-29,Woman,Master’s degree,Data Scientist,3-5 years,"50,000-59,999",1,"1",,,,,
9116,17043,55-59,Man,Master’s degree,Product/Project Manager,1-2 years,"150,000-199,999",,,,,,,None of these activities are an important part of my role at work
9117,17046,35-39,Man,Doctoral degree,Research Scientist,< 1 years,"1,000-1,999",,,,,1,1,
9118,17047,25-29,Man,Master’s degree,Research Scientist,< 1 years,"70,000-79,999",1,,,,,,
9120,17050,45-49,Man,No formal education past high school,Software Engineer,20+ years,$0-999,,,1,,,,
9121,17052,60-69,Man,Doctoral degree,Data Scientist,20+ years,"60,000-69,999",1,"1",1,,,,
9122,17056,35-39,Man,Doctoral degree,Software Engineer,20+ years,$0-999,,,,,,,None of these activities are an important part of my role at work
9123,17061,22-24,Man,Bachelor’s degree,Data Analyst,3-5 years,$0-999,1,"1",,,,,
9124,17062,18-21,Man,Master’s degree,Data Scientist,< 1 years,$0-999,1,,1,1,1,1,
9126,17065,45-49,Man,Master’s degree,Product/Project Manager,3-5 years,"10,000-14,999",1,,,,,,
9127,17067,30-34,Man,Professional degree,Software Engineer,5-10 years,$0-999,,,,,,,None of these activities are an important part of my role at work
9128,17072,45-49,Man,Bachelor’s degree,Machine Learning Engineer,< 1 years,$0-999,1,,,,,,
9129,17073,35-39,Man,Master’s degree,Software Engineer,20+ years,$0-999,,,,1,,,
9130,17074,25-29,Man,Master’s degree,Data Scientist,3-5 years,$0-999,,,,,,,
9132,17081,30-34,Other,Bachelor’s degree,Data Scientist,10-20 years,"50,000-59,999",1,"1",1,,1,,
9133,17082,35-39,Woman,Bachelor’s degree,Data Scientist,5-10 years,"30,000-39,999",1,,,,,,
9134,17084,25-29,Man,Master’s degree,Machine Learning Engineer,3-5 years,"125,000-149,999",,"1",1,1,,,
9135,17085,35-39,Man,Doctoral degree,Data Engineer,10-20 years,"50,000-59,999",1,"1",,,,,
9136,17087,70+,Man,Doctoral degree,Data Scientist,20+ years,"40,000-49,999",,,1,,1,1,
9137,17088,18-21,Man,Bachelor’s degree,Business Analyst,3-5 years,$0-999,1,"1",1,,1,,
9139,17090,40-44,Woman,Doctoral degree,Data Scientist,20+ years,"60,000-69,999",1,,1,,,,
9140,17096,30-34,Man,Bachelor’s degree,Data Scientist,3-5 years,$0-999,1,,,,,,
9141,17098,40-44,Man,Master’s degree,Data Engineer,1-2 years,"100,000-124,999",,"1",1,,,,
9142,17100,25-29,Man,Master’s degree,Data Scientist,5-10 years,"40,000-49,999",1,"1",1,1,,,
9143,17104,30-34,Man,Master’s degree,Software Engineer,10-20 years,"60,000-69,999",1,,,,,,
9144,17106,45-49,Man,Doctoral degree,Research Scientist,< 1 years,"50,000-59,999",,,,,,,None of these activities are an important part of my role at work
9145,17107,25-29,Woman,Master’s degree,Statistician,1-2 years,"2,000-2,999",1,,,,,,
9146,17108,25-29,Man,Master’s degree,Statistician,5-10 years,"40,000-49,999",1,,1,,,,
9147,17111,40-44,Man,Doctoral degree,Research Scientist,10-20 years,"80,000-89,999",1,"1",1,1,1,1,
9148,17112,22-24,Woman,Master’s degree,Data Analyst,1-2 years,"1,000-1,999",,,1,,,,
9150,17117,70+,Man,Doctoral degree,Research Scientist,20+ years,"40,000-49,999",1,,,,,,
9151,17125,45-49,Woman,I prefer not to answer,Research Scientist,20+ years,$0-999,,,,,,,None of these activities are an important part of my role at work
9152,17127,55-59,Man,Bachelor’s degree,Software Engineer,20+ years,"4,000-4,999",1,,,,,,
9153,17128,22-24,Man,Master’s degree,Data Engineer,1-2 years,"7,500-9,999",1,"1",,,,,
9154,17131,30-34,Man,Bachelor’s degree,Software Engineer,10-20 years,"70,000-79,999",1,"1",1,,,,
9155,17135,30-34,Man,Bachelor’s degree,Data Engineer,5-10 years,"20,000-24,999",1,"1",1,1,,1,
9156,17136,18-21,Woman,Bachelor’s degree,Machine Learning Engineer,1-2 years,"3,000-3,999",1,"1",1,1,1,1,
9157,17137,25-29,Man,Master’s degree,Data Scientist,1-2 years,"5,000-7,499",1,"1",,,1,1,
9158,17140,40-44,Man,Doctoral degree,Research Scientist,5-10 years,"50,000-59,999",1,,,,1,,
9160,17143,25-29,Woman,Bachelor’s degree,Data Scientist,5-10 years,"15,000-19,999",1,,1,1,1,,
9162,17147,25-29,Man,Master’s degree,Data Scientist,3-5 years,$0-999,,"1",,,,,
9163,17152,30-34,Man,Master’s degree,Product/Project Manager,< 1 years,"40,000-49,999",,,,1,,,
9164,17153,35-39,Woman,Doctoral degree,Research Scientist,5-10 years,"80,000-89,999",1,,1,,1,1,
9165,17154,25-29,Man,Master’s degree,Business Analyst,1-2 years,"4,000-4,999",,,,,,,None of these activities are an important part of my role at work
9166,17156,30-34,Man,Bachelor’s degree,Business Analyst,5-10 years,"15,000-19,999",,,,,,,None of these activities are an important part of my role at work
9167,17157,45-49,Woman,I prefer not to answer,Data Analyst,20+ years,"1,000-1,999",1,"1",1,1,1,1,
9168,17161,45-49,Man,Master’s degree,Software Engineer,20+ years,"20,000-24,999",,,1,,1,,
9169,17163,25-29,Man,Bachelor’s degree,Software Engineer,3-5 years,"5,000-7,499",1,"1",,,1,,
9170,17165,22-24,Man,No formal education past high school,Data Scientist,< 1 years,$0-999,,,,,,,None of these activities are an important part of my role at work
9171,17166,40-44,Woman,Bachelor’s degree,Data Analyst,1-2 years,"60,000-69,999",1,"1",,,,,
9172,17168,25-29,Woman,Master’s degree,Data Analyst,3-5 years,"60,000-69,999",1,"1",1,,,,
9173,17170,25-29,Woman,Master’s degree,Data Scientist,5-10 years,"25,000-29,999",1,,,1,1,1,
9174,17171,22-24,Man,Bachelor’s degree,Data Analyst,3-5 years,"40,000-49,999",1,"1",,1,1,,
9175,17173,55-59,Man,Master’s degree,Business Analyst,10-20 years,"60,000-69,999",1,"1",1,1,1,,
9176,17175,50-54,Man,Master’s degree,Software Engineer,10-20 years,"10,000-14,999",1,,1,,1,,
9177,17176,25-29,Man,Bachelor’s degree,Data Analyst,1-2 years,"1,000-1,999",1,"1",,,,1,
9178,17177,22-24,Woman,Master’s degree,Software Engineer,3-5 years,"15,000-19,999",1,,,,,,
9179,17179,22-24,Man,Bachelor’s degree,Data Scientist,1-2 years,"1,000-1,999",1,"1",,1,,,
9180,17180,30-34,Man,Master’s degree,Data Scientist,5-10 years,"25,000-29,999",1,,1,,1,1,
9181,17181,35-39,Man,Master’s degree,Data Scientist,5-10 years,"90,000-99,999",1,"1",1,,,,
9182,17183,22-24,Man,Bachelor’s degree,Data Scientist,1-2 years,$0-999,1,"1",,,,,
9183,17188,35-39,Man,Bachelor’s degree,Software Engineer,10-20 years,"90,000-99,999",,,,1,1,,
9184,17191,18-21,Man,Bachelor’s degree,Data Scientist,3-5 years,$0-999,1,"1",,1,,,
9185,17192,45-49,Man,Master’s degree,Machine Learning Engineer,1-2 years,"125,000-149,999",1,"1",1,1,1,1,
9186,17194,22-24,Woman,Master’s degree,Data Scientist,1-2 years,$0-999,,"1",1,,,,
9187,17195,30-34,Man,Master’s degree,Data Scientist,10-20 years,"100,000-124,999",1,,1,,1,,
9188,17197,25-29,Man,Master’s degree,Product/Project Manager,I have never written code,$0-999,1,,,,,,
9189,17199,25-29,Woman,Master’s degree,Data Scientist,10-20 years,"150,000-199,999",1,"1",1,1,,,
9190,17200,25-29,Man,Master’s degree,Data Analyst,5-10 years,"15,000-19,999",1,,,,,,
9191,17201,35-39,Man,Doctoral degree,Data Scientist,5-10 years,"1,000-1,999",1,,1,,,,
9192,17205,25-29,Man,Master’s degree,Research Scientist,3-5 years,"20,000-24,999",,,1,,,1,
9193,17206,40-44,Woman,Bachelor’s degree,Data Analyst,1-2 years,"70,000-79,999",,,1,,1,,
9194,17207,40-44,Man,Master’s degree,Machine Learning Engineer,3-5 years,"3,000-3,999",1,,,1,,,
9195,17211,30-34,Other,I prefer not to answer,Machine Learning Engineer,1-2 years,"5,000-7,499",,,1,,,,
9196,17212,22-24,Woman,Bachelor’s degree,Business Analyst,< 1 years,$0-999,1,"1",,,,,
9197,17213,30-34,Woman,Master’s degree,Machine Learning Engineer,5-10 years,"100,000-124,999",1,"1",1,1,1,1,
9198,17215,45-49,Man,Master’s degree,Research Scientist,< 1 years,"125,000-149,999",,,,1,,,
9199,17216,35-39,Man,Doctoral degree,Product/Project Manager,I have never written code,"7,500-9,999",,,1,,1,1,
9202,17223,30-34,Man,Bachelor’s degree,Data Analyst,< 1 years,"25,000-29,999",,,,,,,
9203,17228,45-49,Man,Master’s degree,Business Analyst,20+ years,"100,000-124,999",1,"1",,,,,
9204,17229,35-39,Man,Master’s degree,Data Scientist,10-20 years,"30,000-39,999",1,,1,1,,,
9205,17230,25-29,Man,Bachelor’s degree,Machine Learning Engineer,1-2 years,"30,000-39,999",,"1",1,,,,
9206,17231,35-39,Man,Professional degree,Research Scientist,1-2 years,$0-999,1,"1",,1,,,
9208,17233,18-21,Man,Bachelor’s degree,Business Analyst,I have never written code,$0-999,1,,,,,,
9210,17235,22-24,Man,Bachelor’s degree,Software Engineer,3-5 years,"50,000-59,999",,"1",,1,,,
9211,17238,25-29,Woman,Master’s degree,Data Analyst,3-5 years,"50,000-59,999",1,,,,,,
9212,17239,30-34,Man,Bachelor’s degree,Product/Project Manager,3-5 years,"10,000-14,999",1,,,,,,
9213,17240,35-39,Man,Master’s degree,Business Analyst,1-2 years,"50,000-59,999",,,1,,,,
9216,17248,45-49,Man,Master’s degree,Business Analyst,5-10 years,"125,000-149,999",1,,,,,,
9217,17249,40-44,Man,Master’s degree,Data Analyst,< 1 years,"100,000-124,999",,,,,,,None of these activities are an important part of my role at work
9218,17253,18-21,Man,Master’s degree,Machine Learning Engineer,1-2 years,$0-999,1,"1",1,,,1,
9219,17256,35-39,Man,Bachelor’s degree,Business Analyst,3-5 years,"1,000-1,999",1,,,1,,,
9220,17257,18-21,Woman,Bachelor’s degree,Data Scientist,3-5 years,"2,000-2,999",1,,,,,,
9221,17264,22-24,Man,Master’s degree,Business Analyst,3-5 years,"7,500-9,999",1,"1",,,,,
9222,17265,22-24,Man,Master’s degree,Data Analyst,3-5 years,"2,000-2,999",1,"1",1,,,,
9223,17266,30-34,Woman,Master’s degree,Data Scientist,3-5 years,$0-999,,,,,,1,
9224,17267,25-29,Man,Master’s degree,Business Analyst,1-2 years,"60,000-69,999",1,,1,,1,,
9225,17269,40-44,Man,Bachelor’s degree,Data Analyst,5-10 years,$0-999,1,,,,,,
9226,17271,30-34,Man,Master’s degree,Data Scientist,3-5 years,"90,000-99,999",1,,1,1,1,,
9227,17272,60-69,Man,Master’s degree,Research Scientist,20+ years,"60,000-69,999",1,,1,,,1,
9228,17273,50-54,Man,Master’s degree,Product/Project Manager,20+ years,"70,000-79,999",,,1,1,,1,
9229,17275,40-44,Man,Master’s degree,Product/Project Manager,1-2 years,"50,000-59,999",1,,1,1,1,,
9230,17278,45-49,Woman,Master’s degree,Data Scientist,3-5 years,"125,000-149,999",1,,1,,,1,
9231,17279,25-29,Woman,I prefer not to answer,Data Engineer,3-5 years,"2,000-2,999",,,,,,,
9232,17281,55-59,Man,Doctoral degree,Research Scientist,1-2 years,$0-999,,,,,,1,
9233,17283,35-39,Man,Doctoral degree,Data Scientist,20+ years,"150,000-199,999",1,"1",1,,1,,
9234,17285,25-29,Man,Master’s degree,Research Scientist,1-2 years,"50,000-59,999",,,,,,1,
9235,17286,22-24,Man,Professional degree,Software Engineer,3-5 years,$0-999,,"1",1,,,,
9236,17287,30-34,Other,Master’s degree,Product/Project Manager,5-10 years,"150,000-199,999",,,1,,,1,
9238,17290,45-49,Man,Doctoral degree,Data Scientist,20+ years,"150,000-199,999",1,,1,,1,,
9240,17293,45-49,Woman,Master’s degree,Data Analyst,1-2 years,"40,000-49,999",,,1,,,,
9241,17295,25-29,Man,Master’s degree,Data Scientist,3-5 years,"7,500-9,999",,,,1,1,1,
9242,17299,22-24,Woman,Master’s degree,Data Analyst,< 1 years,"4,000-4,999",1,,,,,,
9244,17301,30-34,Woman,Doctoral degree,Research Scientist,5-10 years,"50,000-59,999",,,,,,,None of these activities are an important part of my role at work
9245,17302,40-44,Woman,Master’s degree,Product/Project Manager,3-5 years,"40,000-49,999",,,,,,,None of these activities are an important part of my role at work
9246,17305,18-21,Man,Bachelor’s degree,Software Engineer,1-2 years,$0-999,,,,,,,None of these activities are an important part of my role at work
9247,17310,18-21,Man,Bachelor’s degree,Data Analyst,1-2 years,$0-999,1,,,,,,
9248,17311,30-34,Man,Master’s degree,Research Scientist,1-2 years,"60,000-69,999",,,,,,,None of these activities are an important part of my role at work
9249,17312,40-44,Man,Master’s degree,Data Scientist,10-20 years,"40,000-49,999",1,,,1,1,,
9250,17313,70+,Man,Doctoral degree,Research Scientist,20+ years,"200,000-249,999",1,,,,1,1,
9251,17314,30-34,Woman,Master’s degree,Research Scientist,< 1 years,"1,000-1,999",,,,,,1,
9255,17324,25-29,Man,Master’s degree,Data Scientist,1-2 years,"5,000-7,499",1,,1,,1,,
9256,17326,35-39,Man,Doctoral degree,Research Scientist,10-20 years,"30,000-39,999",,,1,,1,1,
9257,17327,22-24,Other,Bachelor’s degree,Machine Learning Engineer,< 1 years,"3,000-3,999",,,,,,,
9258,17328,30-34,Man,Master’s degree,Software Engineer,1-2 years,"10,000-14,999",,,,,,,None of these activities are an important part of my role at work
9259,17329,30-34,Man,Professional degree,Machine Learning Engineer,< 1 years,"100,000-124,999",1,,1,,1,1,
9260,17330,30-34,Other,Bachelor’s degree,Data Scientist,3-5 years,"60,000-69,999",,,1,,,,
9261,17333,30-34,Man,Doctoral degree,Software Engineer,3-5 years,"70,000-79,999",1,,1,,,,
9262,17337,30-34,Man,Doctoral degree,Data Scientist,3-5 years,"80,000-89,999",1,,1,,1,1,
9263,17341,30-34,Man,Master’s degree,Data Scientist,3-5 years,"70,000-79,999",1,,1,,,,
9265,17344,25-29,Man,Master’s degree,Software Engineer,3-5 years,$0-999,1,"1",1,1,1,1,
9267,17346,25-29,Woman,Bachelor’s degree,Software Engineer,3-5 years,"15,000-19,999",,"1",,,,,
9269,17351,25-29,Man,I prefer not to answer,Software Engineer,5-10 years,"10,000-14,999",,,,,,,None of these activities are an important part of my role at work
9270,17352,30-34,Man,Master’s degree,Data Analyst,3-5 years,"10,000-14,999",1,,,,,,
9271,17353,25-29,Woman,Master’s degree,Business Analyst,1-2 years,"30,000-39,999",1,"1",,,,,
9272,17354,35-39,Man,Bachelor’s degree,Product/Project Manager,10-20 years,"50,000-59,999",1,,1,,1,,
9273,17355,30-34,Man,Doctoral degree,Software Engineer,< 1 years,"1,000-1,999",,,,,,,None of these activities are an important part of my role at work
9274,17357,25-29,Man,Master’s degree,Data Scientist,3-5 years,"50,000-59,999",,,1,1,1,,
9275,17360,35-39,Man,Some college/university study without earning a bachelor’s degree,Business Analyst,10-20 years,"100,000-124,999",1,,,,,,
9276,17362,60-69,Man,Bachelor’s degree,Software Engineer,10-20 years,"20,000-24,999",1,,,1,,1,
9277,17363,30-34,Man,Master’s degree,Data Engineer,3-5 years,"30,000-39,999",,,,,,,None of these activities are an important part of my role at work
9278,17364,35-39,Man,Bachelor’s degree,Data Engineer,5-10 years,"150,000-199,999",1,"1",,,,,
9279,17365,25-29,Man,Some college/university study without earning a bachelor’s degree,Data Engineer,< 1 years,"3,000-3,999",,,1,1,,,
9280,17366,30-34,Man,Master’s degree,Business Analyst,5-10 years,"100,000-124,999",,"1",,,,,
9281,17367,50-54,Man,Master’s degree,Business Analyst,10-20 years,"20,000-24,999",1,,,,,1,
9282,17369,25-29,Man,Master’s degree,Data Analyst,< 1 years,$0-999,1,,,,,,
9284,17375,25-29,Woman,Master’s degree,Business Analyst,< 1 years,"25,000-29,999",1,,,1,1,1,
9285,17376,25-29,Man,Master’s degree,Software Engineer,< 1 years,"100,000-124,999",,,1,,1,,
9286,17378,60-69,Man,Some college/university study without earning a bachelor’s degree,Software Engineer,20+ years,"150,000-199,999",1,"1",1,,,,
9287,17380,50-54,Woman,Master’s degree,Data Scientist,3-5 years,"70,000-79,999",1,,1,,1,1,
9288,17382,25-29,Man,Bachelor’s degree,Data Engineer,3-5 years,"100,000-124,999",1,"1",,,,1,
9290,17384,35-39,Man,Master’s degree,Data Scientist,3-5 years,"40,000-49,999",1,,1,,1,,
9291,17385,35-39,Other,Doctoral degree,Data Scientist,10-20 years,"100,000-124,999",1,,,,,,
9292,17387,22-24,Man,Bachelor’s degree,Software Engineer,3-5 years,$0-999,,,1,,,,
9293,17390,30-34,Woman,Master’s degree,Data Scientist,3-5 years,"4,000-4,999",,,1,,1,,
9294,17392,22-24,Man,Bachelor’s degree,Machine Learning Engineer,< 1 years,$0-999,,"1",,,,,
9296,17396,30-34,Man,Doctoral degree,Product/Project Manager,5-10 years,"90,000-99,999",1,,1,,,,
9297,17397,35-39,Man,Master’s degree,Software Engineer,5-10 years,"5,000-7,499",1,"1",,1,,,
9298,17400,45-49,Man,Doctoral degree,Software Engineer,20+ years,"100,000-124,999",,,,,,,None of these activities are an important part of my role at work
9300,17402,22-24,Man,Bachelor’s degree,Business Analyst,1-2 years,"40,000-49,999",1,,1,1,,,
9301,17404,22-24,Man,Bachelor’s degree,Data Scientist,5-10 years,$0-999,1,"1",1,1,1,1,
9302,17405,45-49,Man,Master’s degree,Data Engineer,10-20 years,"60,000-69,999",1,"1",1,,1,,
9303,17407,30-34,Other,Master’s degree,Business Analyst,1-2 years,"40,000-49,999",1,,,,,,
9304,17408,50-54,Man,Professional degree,Data Scientist,20+ years,"150,000-199,999",1,"1",1,1,1,,
9305,17409,25-29,Man,Bachelor’s degree,Software Engineer,10-20 years,"30,000-39,999",,,,,,,None of these activities are an important part of my role at work
9306,17411,35-39,Man,Bachelor’s degree,Product/Project Manager,10-20 years,"70,000-79,999",1,"1",,,,,
9307,17412,25-29,Man,Doctoral degree,Research Scientist,1-2 years,"2,000-2,999",1,,,1,1,1,
9308,17415,40-44,Man,Master’s degree,Data Scientist,3-5 years,"25,000-29,999",1,,1,,1,1,
9311,17422,60-69,Man,Doctoral degree,Research Scientist,20+ years,"150,000-199,999",1,"1",1,1,1,1,
9313,17429,40-44,Man,Master’s degree,Product/Project Manager,5-10 years,$0-999,,"1",1,,,,
9315,17431,60-69,Woman,Master’s degree,Data Analyst,20+ years,$0-999,1,,,,,,
9316,17434,25-29,Man,Bachelor’s degree,Data Analyst,1-2 years,$0-999,1,,,,,,
9317,17436,60-69,Man,Master’s degree,Data Scientist,20+ years,"40,000-49,999",,"1",,,,,
9318,17438,18-21,Man,Bachelor’s degree,Machine Learning Engineer,< 1 years,$0-999,,"1",,,,,
9319,17439,30-34,Man,Bachelor’s degree,Data Scientist,1-2 years,"3,000-3,999",1,,1,,,1,
9320,17442,30-34,Man,Master’s degree,Data Scientist,< 1 years,$0-999,1,"1",1,1,,1,
9321,17443,22-24,Man,Bachelor’s degree,Software Engineer,5-10 years,"30,000-39,999",1,"1",,,,,
9322,17445,55-59,Man,Doctoral degree,Data Scientist,20+ years,"20,000-24,999",1,,,1,,1,
